game_id,game_date,team_name,venue,batting_avg,earn_run_avg,game_outcome,game_number,visiting_team,home_team,game_day,day_night,double_header
43555-CHW@KCR-1,3/31/2019,Kansas City Royals,Home,0.182,6,lose,1,Chicago White Sox,Kansas City Royals,Sun,d,no
43555-CLE@MIN-1,3/31/2019,Minnesota Twins,Home,0.429,3,win,1,Cleveland Indians,Minnesota Twins,Sun,d,no
43555-CLE@MIN-1,3/31/2019,Cleveland Indians,Road,0.194,9,lose,1,Cleveland Indians,Minnesota Twins,Sun,d,no
43555-COL@MIA-1,3/31/2019,Miami Marlins,Home,0.179,0,win,1,Colorado Rockies,Miami Marlins,Sun,d,no
43555-COL@MIA-1,3/31/2019,Colorado Rockies,Road,0.167,3.38,lose,1,Colorado Rockies,Miami Marlins,Sun,d,no
43555-DET@TOR-1,3/31/2019,Detroit Tigers,Road,0.233,2.45,win,1,Detroit Tigers,Toronto Blue Jays,Sun,d,no
43555-DET@TOR-1,3/31/2019,Toronto Blue Jays,Home,0.205,3.27,lose,1,Detroit Tigers,Toronto Blue Jays,Sun,d,no
43555-HOU@TBR-1,3/31/2019,Tampa Bay Rays,Home,0.25,1,win,1,Houston Astros,Tampa Bay Rays,Sun,d,no
43555-HOU@TBR-1,3/31/2019,Houston Astros,Road,0.107,3.38,lose,1,Houston Astros,Tampa Bay Rays,Sun,d,no
43555-LAA@OAK-1,3/31/2019,Oakland Athletics,Home,0.226,1,win,1,Los Angeles Angels,Oakland Athletics,Sun,d,no
43555-LAA@OAK-1,3/31/2019,Los Angeles Angels,Road,0.103,2.25,lose,1,Los Angeles Angels,Oakland Athletics,Sun,d,no
43555-NYM@WSN-1,3/31/2019,Washington Nationals,Home,0.306,5,win,1,New York Mets,Washington Nationals,Sun,d,no
43555-NYM@WSN-1,3/31/2019,New York Mets,Road,0.333,6.48,lose,1,New York Mets,Washington Nationals,Sun,d,no
43555-PIT@CIN-1,3/31/2019,Pittsburgh Pirates,Road,0.278,0,win,1,Pittsburgh Pirates,Cincinnati Reds,Sun,d,no
43555-PIT@CIN-1,3/31/2019,Cincinnati Reds,Home,0.133,3,lose,1,Pittsburgh Pirates,Cincinnati Reds,Sun,d,no
43555-SFG@SDP-1,3/31/2019,San Diego Padres,Home,0.25,1,win,1,San Francisco Giants,San Diego Padres,Sun,d,no
43555-SFG@SDP-1,3/31/2019,San Francisco Giants,Road,0.074,1.12,lose,1,San Francisco Giants,San Diego Padres,Sun,d,no
43555-STL@MIL-1,3/31/2019,Milwaukee Brewers,Home,0.281,4,win,1,St. Louis Cardinals,Milwaukee Brewers,Sun,d,no
43555-STL@MIL-1,3/31/2019,St. Louis Cardinals,Road,0.206,5.62,lose,1,St. Louis Cardinals,Milwaukee Brewers,Sun,d,no
43556-ARI@SDP-1,4/1/2019,Arizona Diamondbacks,Road,0.375,3,win,1,Arizona Diamondbacks,San Diego Padres,Mon,n,no
43556-ARI@SDP-1,4/1/2019,San Diego Padres,Home,0.194,9,lose,1,Arizona Diamondbacks,San Diego Padres,Mon,n,no
43556-BAL@TOR-1,4/1/2019,Baltimore Orioles,Road,0.188,5,win,1,Baltimore Orioles,Toronto Blue Jays,Mon,n,no
43556-BAL@TOR-1,4/1/2019,Toronto Blue Jays,Home,0.194,4,lose,1,Baltimore Orioles,Toronto Blue Jays,Mon,n,no
43556-BOS@OAK-1,4/1/2019,Oakland Athletics,Home,0.265,0,win,1,Boston Red Sox,Oakland Athletics,Mon,n,no
43556-BOS@OAK-1,4/1/2019,Boston Red Sox,Road,0.138,6.75,lose,1,Boston Red Sox,Oakland Athletics,Mon,n,no
43556-CHC@ATL-1,4/1/2019,Atlanta Braves,Home,0.333,0,win,1,Chicago Cubs,Atlanta Braves,Mon,n,no
43556-CHC@ATL-1,4/1/2019,Chicago Cubs,Road,0.273,2.25,lose,1,Chicago Cubs,Atlanta Braves,Mon,n,no
43556-CHW@CLE-1,4/1/2019,Cleveland Indians,Home,0.25,2,win,1,Chicago White Sox,Cleveland Indians,Mon,d,no
43556-CHW@CLE-1,4/1/2019,Chicago White Sox,Road,0.1,4.5,lose,1,Chicago White Sox,Cleveland Indians,Mon,d,no
43556-COL@TBR-1,4/1/2019,Tampa Bay Rays,Home,0.281,1,win,1,Colorado Rockies,Tampa Bay Rays,Mon,n,no
43556-COL@TBR-1,4/1/2019,Colorado Rockies,Road,0.188,7.88,lose,1,Colorado Rockies,Tampa Bay Rays,Mon,n,no
43556-DET@NYY-1,4/1/2019,New York Yankees,Home,0.172,0,win,1,Detroit Tigers,New York Yankees,Mon,n,no
43556-DET@NYY-1,4/1/2019,Detroit Tigers,Road,0.069,2.25,lose,1,Detroit Tigers,New York Yankees,Mon,n,no
43556-HOU@TEX-1,4/1/2019,Houston Astros,Road,0.242,1,win,1,Houston Astros,Texas Rangers,Mon,n,no
43556-HOU@TEX-1,4/1/2019,Texas Rangers,Home,0.071,2,lose,1,Houston Astros,Texas Rangers,Mon,n,no
43556-LAA@SEA-1,4/1/2019,Seattle Mariners,Home,0.303,1,win,1,Los Angeles Angels,Seattle Mariners,Mon,n,no
43556-LAA@SEA-1,4/1/2019,Los Angeles Angels,Road,0.229,6.75,lose,1,Los Angeles Angels,Seattle Mariners,Mon,n,no
43556-MIL@CIN-1,4/1/2019,Milwaukee Brewers,Road,0.306,3,win,1,Milwaukee Brewers,Cincinnati Reds,Mon,n,no
43556-MIL@CIN-1,4/1/2019,Cincinnati Reds,Home,0.235,4,lose,1,Milwaukee Brewers,Cincinnati Reds,Mon,n,no
43556-NYM@MIA-1,4/1/2019,New York Mets,Road,0.278,1,win,1,New York Mets,Miami Marlins,Mon,n,no
43556-NYM@MIA-1,4/1/2019,Miami Marlins,Home,0.257,7,lose,1,New York Mets,Miami Marlins,Mon,n,no
43556-SFG@LAD-1,4/1/2019,San Francisco Giants,Road,0.25,2,win,1,San Francisco Giants,Los Angeles Dodgers,Mon,n,no
43556-SFG@LAD-1,4/1/2019,Los Angeles Dodgers,Home,0.219,4,lose,1,San Francisco Giants,Los Angeles Dodgers,Mon,n,no
