game_date,game_number,game_day,visiting_team,home_team,day_night,double_header
4/2/2019,1,Tue,Minnesota Twins,Kansas City Royals,n,no
4/2/2019,1,Tue,San Francisco Giants,Los Angeles Dodgers,n,no
4/2/2019,1,Tue,New York Mets,Miami Marlins,n,no
4/2/2019,1,Tue,Detroit Tigers,New York Yankees,n,no
4/2/2019,1,Tue,Boston Red Sox,Oakland Athletics,n,no
4/2/2019,1,Tue,Arizona Diamondbacks,San Diego Padres,n,no
4/2/2019,1,Tue,Los Angeles Angels,Seattle Mariners,n,no
4/2/2019,1,Tue,Colorado Rockies,Tampa Bay Rays,n,no
4/2/2019,1,Tue,Houston Astros,Texas Rangers,n,no
4/2/2019,1,Tue,Baltimore Orioles,Toronto Blue Jays,n,no
4/2/2019,1,Tue,Philadelphia Phillies,Washington Nationals,n,no
4/3/2019,1,Wed,Chicago Cubs,Atlanta Braves,n,no
4/3/2019,1,Wed,Milwaukee Brewers,Cincinnati Reds,d,no
4/3/2019,1,Wed,Chicago White Sox,Cleveland Indians,d,no
4/3/2019,1,Wed,Minnesota Twins,Kansas City Royals,d,no
4/3/2019,1,Wed,San Francisco Giants,Los Angeles Dodgers,n,no
4/3/2019,1,Wed,New York Mets,Miami Marlins,n,no
4/3/2019,1,Wed,Detroit Tigers,New York Yankees,d,no
4/3/2019,1,Wed,Boston Red Sox,Oakland Athletics,n,no
4/3/2019,1,Wed,St. Louis Cardinals,Pittsburgh Pirates,n,no
4/3/2019,1,Wed,Arizona Diamondbacks,San Diego Padres,d,no
4/3/2019,1,Wed,Colorado Rockies,Tampa Bay Rays,d,no
4/3/2019,1,Wed,Houston Astros,Texas Rangers,n,no
4/3/2019,1,Wed,Baltimore Orioles,Toronto Blue Jays,d,no
4/3/2019,1,Wed,Philadelphia Phillies,Washington Nationals,d,no
4/4/2019,1,Thu,Texas Rangers,Los Angeles Angels,n,no
4/4/2019,1,Thu,Chicago Cubs,Atlanta Braves,n,no
4/4/2019,1,Thu,New York Yankees,Baltimore Orioles,d,no
4/4/2019,1,Thu,Toronto Blue Jays,Cleveland Indians,n,no
4/4/2019,1,Thu,Kansas City Royals,Detroit Tigers,d,no
4/4/2019,1,Thu,Washington Nationals,New York Mets,d,no
4/4/2019,1,Thu,Boston Red Sox,Oakland Athletics,d,no
4/4/2019,1,Thu,Cincinnati Reds,Pittsburgh Pirates,n,no
4/5/2019,1,Fri,Texas Rangers,Los Angeles Angels,n,no
4/5/2019,1,Fri,Boston Red Sox,Arizona Diamondbacks,d,no
4/5/2019,1,Fri,Miami Marlins,Atlanta Braves,n,no
4/5/2019,1,Thu,Seattle Mariners,Chicago White Sox,d,no
4/5/2019,1,Fri,Toronto Blue Jays,Cleveland Indians,n,no
4/5/2019,1,Fri,Los Angeles Dodgers,Colorado Rockies,d,no
4/5/2019,1,Fri,Oakland Athletics,Houston Astros,n,no
4/5/2019,1,Fri,Chicago Cubs,Milwaukee Brewers,n,no
4/5/2019,1,Fri,Minnesota Twins,Philadelphia Phillies,n,no
4/5/2019,1,Fri,Cincinnati Reds,Pittsburgh Pirates,n,no
4/5/2019,1,Fri,Tampa Bay Rays,San Francisco Giants,d,no
4/5/2019,1,Thu,San Diego Padres,St. Louis Cardinals,d,no
4/6/2019,1,Sat,Texas Rangers,Los Angeles Angels,d,no
4/6/2019,1,Sat,Boston Red Sox,Arizona Diamondbacks,n,no
4/6/2019,1,Sat,Miami Marlins,Atlanta Braves,n,no
4/6/2019,1,Sat,New York Yankees,Baltimore Orioles,n,no
4/6/2019,1,Sat,Seattle Mariners,Chicago White Sox,d,no
4/6/2019,1,Sat,Toronto Blue Jays,Cleveland Indians,d,no
4/6/2019,1,Sat,Los Angeles Dodgers,Colorado Rockies,n,no
4/6/2019,1,Sat,Kansas City Royals,Detroit Tigers,d,no
4/6/2019,1,Sat,Oakland Athletics,Houston Astros,n,no
4/6/2019,1,Sat,Chicago Cubs,Milwaukee Brewers,n,no
4/6/2019,1,Sat,Washington Nationals,New York Mets,d,no
4/6/2019,1,Sat,Minnesota Twins,Philadelphia Phillies,d,no
4/6/2019,1,Sat,Cincinnati Reds,Pittsburgh Pirates,d,no
4/6/2019,1,Sat,Tampa Bay Rays,San Francisco Giants,d,no
4/6/2019,1,Sat,San Diego Padres,St. Louis Cardinals,d,no
4/7/2019,1,Sun,Texas Rangers,Los Angeles Angels,d,no
4/7/2019,1,Sun,Boston Red Sox,Arizona Diamondbacks,d,no
4/7/2019,1,Sun,Miami Marlins,Atlanta Braves,d,no
4/7/2019,1,Sun,New York Yankees,Baltimore Orioles,d,no
4/7/2019,1,Sun,Seattle Mariners,Chicago White Sox,d,no
4/7/2019,1,Sun,Toronto Blue Jays,Cleveland Indians,d,no
4/7/2019,1,Sun,Los Angeles Dodgers,Colorado Rockies,n,no
4/7/2019,1,Sun,Kansas City Royals,Detroit Tigers,d,no
4/7/2019,1,Sun,Oakland Athletics,Houston Astros,d,no
4/7/2019,1,Sun,Chicago Cubs,Milwaukee Brewers,d,no
4/7/2019,1,Sun,Washington Nationals,New York Mets,d,no
4/7/2019,1,Sun,Minnesota Twins,Philadelphia Phillies,d,no
4/7/2019,1,Sun,Cincinnati Reds,Pittsburgh Pirates,d,no
4/7/2019,1,Sun,Tampa Bay Rays,San Francisco Giants,d,no
4/7/2019,1,Sun,San Diego Padres,St. Louis Cardinals,d,no
4/8/2019,1,Mon,Milwaukee Brewers,Los Angeles Angels,n,no
4/8/2019,1,Mon,Oakland Athletics,Baltimore Orioles,n,no
4/8/2019,1,Mon,Tampa Bay Rays,Chicago White Sox,d,no
4/8/2019,1,Mon,Pittsburgh Pirates,Chicago Cubs,d,no
4/8/2019,1,Mon,Atlanta Braves,Colorado Rockies,n,no
4/8/2019,1,Mon,New York Yankees,Houston Astros,n,no
4/8/2019,1,Mon,Seattle Mariners,Kansas City Royals,n,no
4/8/2019,1,Mon,Washington Nationals,Philadelphia Phillies,n,no
4/8/2019,1,Mon,San Diego Padres,San Francisco Giants,n,no
4/8/2019,1,Mon,Los Angeles Dodgers,St. Louis Cardinals,n,no
4/9/2019,1,Tue,Milwaukee Brewers,Los Angeles Angels,n,no
4/9/2019,1,Tue,Texas Rangers,Arizona Diamondbacks,n,no
4/9/2019,1,Tue,Oakland Athletics,Baltimore Orioles,n,no
4/9/2019,1,Tue,Toronto Blue Jays,Boston Red Sox,d,no
4/9/2019,1,Tue,Tampa Bay Rays,Chicago White Sox,d,no
4/9/2019,1,Tue,Miami Marlins,Cincinnati Reds,n,no
4/9/2019,1,Tue,Atlanta Braves,Colorado Rockies,n,no
4/9/2019,1,Tue,Cleveland Indians,Detroit Tigers,d,no
4/9/2019,1,Tue,New York Yankees,Houston Astros,n,no
4/9/2019,1,Tue,Seattle Mariners,Kansas City Royals,n,no
4/9/2019,1,Tue,Minnesota Twins,New York Mets,n,no
4/9/2019,1,Tue,Washington Nationals,Philadelphia Phillies,n,no
4/9/2019,1,Tue,San Diego Padres,San Francisco Giants,n,no
4/9/2019,1,Tue,Los Angeles Dodgers,St. Louis Cardinals,n,no
4/10/2019,1,Wed,Milwaukee Brewers,Los Angeles Angels,n,no
4/10/2019,1,Wed,Texas Rangers,Arizona Diamondbacks,n,no
4/10/2019,1,Wed,Oakland Athletics,Baltimore Orioles,n,no
4/10/2019,1,Wed,Tampa Bay Rays,Chicago White Sox,d,no
4/10/2019,1,Wed,Pittsburgh Pirates,Chicago Cubs,n,no
4/10/2019,1,Wed,Miami Marlins,Cincinnati Reds,n,no
4/10/2019,1,Wed,Cleveland Indians,Detroit Tigers,d,no
4/10/2019,1,Wed,New York Yankees,Houston Astros,n,no
4/10/2019,1,Wed,Seattle Mariners,Kansas City Royals,n,no
4/10/2019,1,Wed,Minnesota Twins,New York Mets,n,no
4/10/2019,1,Wed,Washington Nationals,Philadelphia Phillies,n,no
4/10/2019,1,Wed,San Diego Padres,San Francisco Giants,d,no
4/10/2019,1,Wed,Los Angeles Dodgers,St. Louis Cardinals,n,no
4/11/2019,1,Thu,San Diego Padres,Arizona Diamondbacks,n,no
4/11/2019,1,Thu,New York Mets,Atlanta Braves,n,no
4/11/2019,1,Thu,Oakland Athletics,Baltimore Orioles,d,no
4/11/2019,1,Thu,Toronto Blue Jays,Boston Red Sox,n,no
4/11/2019,1,Thu,Pittsburgh Pirates,Chicago Cubs,n,no
4/11/2019,1,Thu,Miami Marlins,Cincinnati Reds,d,no
4/11/2019,1,Thu,Cleveland Indians,Detroit Tigers,d,no
4/11/2019,1,Thu,Seattle Mariners,Kansas City Royals,d,no
4/11/2019,1,Thu,Colorado Rockies,San Francisco Giants,n,no
4/11/2019,1,Thu,Los Angeles Dodgers,St. Louis Cardinals,d,no
4/12/2019,1,Fri,San Diego Padres,Arizona Diamondbacks,n,no
4/12/2019,1,Fri,New York Mets,Atlanta Braves,n,no
4/12/2019,1,Fri,Baltimore Orioles,Boston Red Sox,n,no
4/12/2019,1,Fri,Los Angeles Angels,Chicago Cubs,d,no
4/12/2019,1,Fri,Cleveland Indians,Kansas City Royals,n,no
4/12/2019,1,Fri,Milwaukee Brewers,Los Angeles Dodgers,n,no
4/12/2019,1,Fri,Philadelphia Phillies,Miami Marlins,n,no
4/12/2019,1,Fri,Chicago White Sox,New York Yankees,n,no
4/12/2019,1,Fri,Houston Astros,Seattle Mariners,n,no
4/12/2019,1,Fri,Colorado Rockies,San Francisco Giants,n,no
4/12/2019,1,Fri,Oakland Athletics,Texas Rangers,n,no
4/12/2019,1,Fri,Tampa Bay Rays,Toronto Blue Jays,n,no
4/12/2019,1,Fri,Pittsburgh Pirates,Washington Nationals,n,no
4/13/2019,1,Sat,San Diego Padres,Arizona Diamondbacks,n,no
4/13/2019,1,Sat,New York Mets,Atlanta Braves,n,no
4/13/2019,1,Sat,Baltimore Orioles,Boston Red Sox,d,no
4/13/2019,1,Sat,Los Angeles Angels,Chicago Cubs,d,no
4/13/2019,1,Sat,St. Louis Cardinals,Cincinnati Reds,n,no
4/13/2019,1,Sat,Cleveland Indians,Kansas City Royals,n,no
4/13/2019,1,Sat,Milwaukee Brewers,Los Angeles Dodgers,n,no
4/13/2019,1,Sat,Philadelphia Phillies,Miami Marlins,n,no
4/13/2019,1,Sat,Detroit Tigers,Minnesota Twins,d,no
4/13/2019,1,Sat,Chicago White Sox,New York Yankees,d,no
4/13/2019,1,Sat,Houston Astros,Seattle Mariners,n,no
4/13/2019,1,Sat,Colorado Rockies,San Francisco Giants,d,no
4/13/2019,1,Sat,Tampa Bay Rays,Toronto Blue Jays,d,no
4/13/2019,1,Sat,Pittsburgh Pirates,Washington Nationals,d,no
4/14/2019,1,Sun,San Diego Padres,Arizona Diamondbacks,d,no
4/14/2019,1,Sun,New York Mets,Atlanta Braves,n,no
4/14/2019,1,Sun,Baltimore Orioles,Boston Red Sox,d,no
4/14/2019,1,Sun,St. Louis Cardinals,Cincinnati Reds,d,no
4/14/2019,1,Sun,Cleveland Indians,Kansas City Royals,d,no
4/14/2019,1,Sun,Milwaukee Brewers,Los Angeles Dodgers,d,no
4/14/2019,1,Sun,Philadelphia Phillies,Miami Marlins,d,no
4/14/2019,1,Sun,Detroit Tigers,Minnesota Twins,d,no
4/14/2019,1,Sun,Chicago White Sox,New York Yankees,d,no
4/14/2019,1,Sun,Houston Astros,Seattle Mariners,d,no
4/14/2019,1,Sun,Colorado Rockies,San Francisco Giants,d,no
4/14/2019,1,Sun,Oakland Athletics,Texas Rangers,d,no
4/14/2019,1,Sun,Tampa Bay Rays,Toronto Blue Jays,d,no
4/14/2019,1,Sun,Pittsburgh Pirates,Washington Nationals,d,no
4/15/2019,1,Mon,Baltimore Orioles,Boston Red Sox,d,no
4/15/2019,1,Mon,Kansas City Royals,Chicago White Sox,n,no
4/15/2019,1,Mon,Cincinnati Reds,Los Angeles Dodgers,n,no
4/15/2019,1,Mon,Chicago Cubs,Miami Marlins,n,no
4/15/2019,1,Mon,St. Louis Cardinals,Milwaukee Brewers,n,no
4/15/2019,1,Mon,Toronto Blue Jays,Minnesota Twins,n,no
4/15/2019,1,Mon,New York Mets,Philadelphia Phillies,n,no
4/15/2019,1,Mon,Colorado Rockies,San Diego Padres,n,no
4/15/2019,1,Mon,Cleveland Indians,Seattle Mariners,n,no
4/15/2019,1,Mon,Los Angeles Angels,Texas Rangers,n,no
4/16/2019,1,Tue,Arizona Diamondbacks,Atlanta Braves,n,no
4/16/2019,1,Tue,Kansas City Royals,Chicago White Sox,n,no
4/16/2019,1,Tue,Pittsburgh Pirates,Detroit Tigers,n,no
4/16/2019,1,Tue,Cincinnati Reds,Los Angeles Dodgers,n,no
4/16/2019,1,Tue,Chicago Cubs,Miami Marlins,n,no
4/16/2019,1,Tue,St. Louis Cardinals,Milwaukee Brewers,n,no
4/16/2019,1,Tue,Toronto Blue Jays,Minnesota Twins,n,no
4/16/2019,1,Tue,Boston Red Sox,New York Yankees,n,no
4/16/2019,1,Tue,Houston Astros,Oakland Athletics,n,no
4/16/2019,1,Tue,New York Mets,Philadelphia Phillies,n,no
4/16/2019,1,Tue,Colorado Rockies,San Diego Padres,n,no
4/16/2019,1,Tue,Cleveland Indians,Seattle Mariners,n,no
4/16/2019,1,Tue,Baltimore Orioles,Tampa Bay Rays,n,no
4/16/2019,1,Tue,Los Angeles Angels,Texas Rangers,n,no
4/16/2019,1,Tue,San Francisco Giants,Washington Nationals,n,no
4/17/2019,1,Wed,Arizona Diamondbacks,Atlanta Braves,n,no
4/17/2019,1,Wed,Kansas City Royals,Chicago White Sox,d,no
4/17/2019,1,Wed,Pittsburgh Pirates,Detroit Tigers,n,no
4/17/2019,1,Wed,Cincinnati Reds,Los Angeles Dodgers,d,no
4/17/2019,1,Wed,Chicago Cubs,Miami Marlins,n,no
4/17/2019,1,Wed,St. Louis Cardinals,Milwaukee Brewers,d,no
4/17/2019,1,Wed,Toronto Blue Jays,Minnesota Twins,n,no
4/17/2019,1,Wed,Boston Red Sox,New York Yankees,n,no
4/17/2019,1,Wed,Houston Astros,Oakland Athletics,n,no
4/17/2019,1,Wed,New York Mets,Philadelphia Phillies,d,no
4/17/2019,1,Wed,Cleveland Indians,Seattle Mariners,d,no
4/17/2019,1,Wed,Baltimore Orioles,Tampa Bay Rays,n,no
4/17/2019,1,Wed,Los Angeles Angels,Texas Rangers,n,no
4/17/2019,1,Wed,San Francisco Giants,Washington Nationals,n,no
4/18/2019,1,Thu,Seattle Mariners,Los Angeles Angels,n,no
4/18/2019,1,Thu,Arizona Diamondbacks,Atlanta Braves,d,no
4/18/2019,1,Thu,Philadelphia Phillies,Colorado Rockies,n,no
4/18/2019,1,Thu,Chicago White Sox,Detroit Tigers,d,no
4/18/2019,1,Thu,Los Angeles Dodgers,Milwaukee Brewers,n,no
4/18/2019,1,Thu,Toronto Blue Jays,Minnesota Twins,d,no
4/18/2019,1,Thu,Kansas City Royals,New York Yankees,n,no
4/18/2019,1,Thu,Cincinnati Reds,San Diego Padres,n,no
4/18/2019,1,Thu,Baltimore Orioles,Tampa Bay Rays,n,no
4/18/2019,1,Thu,San Francisco Giants,Washington Nationals,d,no
4/19/2019,1,Fri,Seattle Mariners,Los Angeles Angels,n,no
4/19/2019,1,Fri,Arizona Diamondbacks,Chicago Cubs,d,no
4/19/2019,1,Fri,Philadelphia Phillies,Colorado Rockies,n,no
4/19/2019,1,Fri,Chicago White Sox,Detroit Tigers,n,no
4/19/2019,1,Fri,Washington Nationals,Miami Marlins,n,no
4/19/2019,1,Fri,Los Angeles Dodgers,Milwaukee Brewers,n,no
4/19/2019,1,Fri,Kansas City Royals,New York Yankees,n,no
4/19/2019,1,Fri,Toronto Blue Jays,Oakland Athletics,n,no
4/19/2019,1,Fri,San Francisco Giants,Pittsburgh Pirates,n,no
4/19/2019,1,Fri,Cincinnati Reds,San Diego Padres,n,no
4/19/2019,1,Fri,New York Mets,St. Louis Cardinals,n,no
4/19/2019,1,Fri,Boston Red Sox,Tampa Bay Rays,n,no
4/19/2019,1,Fri,Houston Astros,Texas Rangers,n,no
4/20/2019,2,Sat,Minnesota Twins,Baltimore Orioles,n,yes
4/20/2019,2,Sat,Atlanta Braves,Cleveland Indians,d,yes
4/20/2019,1,Fri,Minnesota Twins,Baltimore Orioles,d,yes
4/20/2019,1,Fri,Atlanta Braves,Cleveland Indians,d,yes
4/20/2019,1,Sat,Seattle Mariners,Los Angeles Angels,n,no
4/20/2019,1,Sat,Arizona Diamondbacks,Chicago Cubs,d,no
4/20/2019,1,Sat,Philadelphia Phillies,Colorado Rockies,n,no
4/20/2019,1,Sat,Washington Nationals,Miami Marlins,n,no
4/20/2019,1,Sat,Los Angeles Dodgers,Milwaukee Brewers,n,no
4/20/2019,1,Sat,Kansas City Royals,New York Yankees,d,no
4/20/2019,1,Sat,Toronto Blue Jays,Oakland Athletics,d,no
4/20/2019,1,Sat,San Francisco Giants,Pittsburgh Pirates,d,no
4/20/2019,1,Sat,Cincinnati Reds,San Diego Padres,n,no
4/20/2019,1,Sat,New York Mets,St. Louis Cardinals,d,no
4/20/2019,1,Sat,Boston Red Sox,Tampa Bay Rays,n,no
4/20/2019,1,Sat,Houston Astros,Texas Rangers,n,no
4/21/2019,1,Sun,Seattle Mariners,Los Angeles Angels,d,no
4/21/2019,1,Sun,Minnesota Twins,Baltimore Orioles,d,no
4/21/2019,1,Sun,Arizona Diamondbacks,Chicago Cubs,d,no
4/21/2019,1,Sun,Atlanta Braves,Cleveland Indians,n,no
4/21/2019,1,Sun,Philadelphia Phillies,Colorado Rockies,d,no
4/21/2019,1,Sun,Chicago White Sox,Detroit Tigers,d,no
4/21/2019,1,Sun,Washington Nationals,Miami Marlins,d,no
4/21/2019,1,Sun,Los Angeles Dodgers,Milwaukee Brewers,d,no
4/21/2019,1,Sun,Kansas City Royals,New York Yankees,d,no
4/21/2019,1,Sun,Toronto Blue Jays,Oakland Athletics,d,no
4/21/2019,1,Sun,San Francisco Giants,Pittsburgh Pirates,d,no
4/21/2019,1,Sun,Cincinnati Reds,San Diego Padres,d,no
4/21/2019,1,Sun,New York Mets,St. Louis Cardinals,d,no
4/21/2019,1,Sun,Boston Red Sox,Tampa Bay Rays,d,no
4/21/2019,1,Sun,Houston Astros,Texas Rangers,d,no
4/22/2019,1,Mon,New York Yankees,Los Angeles Angels,n,no
4/22/2019,1,Mon,Chicago White Sox,Baltimore Orioles,n,no
4/22/2019,1,Mon,Washington Nationals,Colorado Rockies,n,no
4/22/2019,1,Mon,Minnesota Twins,Houston Astros,n,no
4/22/2019,1,Mon,Philadelphia Phillies,New York Mets,n,no
4/22/2019,1,Mon,Texas Rangers,Oakland Athletics,n,no
4/22/2019,1,Mon,Arizona Diamondbacks,Pittsburgh Pirates,n,no
4/22/2019,1,Mon,Milwaukee Brewers,St. Louis Cardinals,n,no
4/22/2019,1,Mon,Kansas City Royals,Tampa Bay Rays,n,no
4/23/2019,2,Tue,Detroit Tigers,Boston Red Sox,n,yes
4/23/2019,1,Mon,Detroit Tigers,Boston Red Sox,d,yes
4/23/2019,1,Tue,New York Yankees,Los Angeles Angels,n,no
4/23/2019,1,Tue,Chicago White Sox,Baltimore Orioles,n,no
4/23/2019,1,Tue,Los Angeles Dodgers,Chicago Cubs,n,no
4/23/2019,1,Tue,Atlanta Braves,Cincinnati Reds,n,no
4/23/2019,1,Tue,Miami Marlins,Cleveland Indians,n,no
4/23/2019,1,Tue,Washington Nationals,Colorado Rockies,n,no
4/23/2019,1,Tue,Minnesota Twins,Houston Astros,n,no
4/23/2019,1,Tue,Philadelphia Phillies,New York Mets,n,no
4/23/2019,1,Tue,Texas Rangers,Oakland Athletics,n,no
4/23/2019,1,Tue,Arizona Diamondbacks,Pittsburgh Pirates,n,no
4/23/2019,1,Tue,Seattle Mariners,San Diego Padres,n,no
4/23/2019,1,Tue,Milwaukee Brewers,St. Louis Cardinals,n,no
4/23/2019,1,Tue,Kansas City Royals,Tampa Bay Rays,n,no
4/23/2019,1,Tue,San Francisco Giants,Toronto Blue Jays,n,no
4/24/2019,1,Wed,New York Yankees,Los Angeles Angels,n,no
4/24/2019,1,Wed,Chicago White Sox,Baltimore Orioles,n,no
4/24/2019,1,Wed,Detroit Tigers,Boston Red Sox,n,no
4/24/2019,1,Wed,Los Angeles Dodgers,Chicago Cubs,n,no
4/24/2019,1,Wed,Atlanta Braves,Cincinnati Reds,n,no
4/24/2019,1,Wed,Miami Marlins,Cleveland Indians,d,no
4/24/2019,1,Wed,Washington Nationals,Colorado Rockies,d,no
4/24/2019,1,Wed,Minnesota Twins,Houston Astros,n,no
4/24/2019,1,Wed,Philadelphia Phillies,New York Mets,n,no
4/24/2019,1,Wed,Texas Rangers,Oakland Athletics,d,no
4/24/2019,1,Wed,Arizona Diamondbacks,Pittsburgh Pirates,n,no
4/24/2019,1,Wed,Seattle Mariners,San Diego Padres,d,no
4/24/2019,1,Wed,Milwaukee Brewers,St. Louis Cardinals,d,no
4/24/2019,1,Wed,Kansas City Royals,Tampa Bay Rays,d,no
4/24/2019,1,Wed,San Francisco Giants,Toronto Blue Jays,d,no
4/25/2019,1,Thu,New York Yankees,Los Angeles Angels,n,no
4/25/2019,1,Thu,Detroit Tigers,Boston Red Sox,n,no
4/25/2019,1,Thu,Los Angeles Dodgers,Chicago Cubs,d,no
4/25/2019,1,Thu,Atlanta Braves,Cincinnati Reds,n,no
4/25/2019,1,Thu,Cleveland Indians,Houston Astros,n,no
4/25/2019,1,Thu,Miami Marlins,Philadelphia Phillies,n,no
4/25/2019,1,Thu,Arizona Diamondbacks,Pittsburgh Pirates,d,no
4/25/2019,1,Thu,Texas Rangers,Seattle Mariners,n,no
4/26/2019,1,Fri,Chicago Cubs,Arizona Diamondbacks,n,no
4/26/2019,1,Fri,Colorado Rockies,Atlanta Braves,n,no
4/26/2019,1,Fri,Detroit Tigers,Chicago White Sox,n,no
4/26/2019,1,Fri,Cleveland Indians,Houston Astros,n,no
4/26/2019,1,Fri,Los Angeles Angels,Kansas City Royals,n,no
4/26/2019,1,Fri,Pittsburgh Pirates,Los Angeles Dodgers,n,no
4/26/2019,1,Fri,Baltimore Orioles,Minnesota Twins,n,no
4/26/2019,1,Fri,Milwaukee Brewers,New York Mets,n,no
4/26/2019,1,Fri,Miami Marlins,Philadelphia Phillies,n,no
4/26/2019,1,Fri,Texas Rangers,Seattle Mariners,n,no
4/26/2019,1,Fri,New York Yankees,San Francisco Giants,n,no
4/26/2019,1,Fri,Cincinnati Reds,St. Louis Cardinals,n,no
4/26/2019,1,Fri,Oakland Athletics,Toronto Blue Jays,n,no
4/26/2019,1,Fri,San Diego Padres,Washington Nationals,n,no
4/27/2019,1,Sat,Chicago Cubs,Arizona Diamondbacks,n,no
4/27/2019,1,Sat,Colorado Rockies,Atlanta Braves,n,no
4/27/2019,1,Sat,Tampa Bay Rays,Boston Red Sox,d,no
