game_date,game_number,game_day,visiting_team,home_team,day_night,double_header
3/20/2019,1,Wed,Seattle Mariners,Oakland Athletics,n,no
3/21/2019,1,Thu,Seattle Mariners,Oakland Athletics,n,no
3/28/2019,1,Thu,Pittsburgh Pirates,Cincinnati Reds,d,no
3/28/2019,1,Thu,Chicago White Sox,Kansas City Royals,d,no
3/28/2019,1,Thu,Arizona Diamondbacks,Los Angeles Dodgers,d,no
3/28/2019,1,Thu,Colorado Rockies,Miami Marlins,d,no
3/28/2019,1,Thu,St. Louis Cardinals,Milwaukee Brewers,d,no
3/28/2019,1,Thu,Cleveland Indians,Minnesota Twins,d,no
3/28/2019,1,Thu,Baltimore Orioles,New York Yankees,d,no
3/28/2019,1,Thu,Los Angeles Angels,Oakland Athletics,d,no
3/28/2019,1,Thu,Atlanta Braves,Philadelphia Phillies,d,no
3/28/2019,1,Thu,San Francisco Giants,San Diego Padres,d,no
3/28/2019,1,Thu,Boston Red Sox,Seattle Mariners,d,no
3/28/2019,1,Thu,Houston Astros,Tampa Bay Rays,d,no
3/28/2019,1,Thu,Chicago Cubs,Texas Rangers,d,no
3/28/2019,1,Thu,Detroit Tigers,Toronto Blue Jays,d,no
3/28/2019,1,Thu,New York Mets,Washington Nationals,d,no
3/29/2019,1,Fri,Arizona Diamondbacks,Los Angeles Dodgers,n,no
3/29/2019,1,Fri,Colorado Rockies,Miami Marlins,n,no
3/29/2019,1,Fri,St. Louis Cardinals,Milwaukee Brewers,n,no
3/29/2019,1,Fri,Los Angeles Angels,Oakland Athletics,n,no
3/29/2019,1,Fri,San Francisco Giants,San Diego Padres,n,no
3/29/2019,1,Fri,Boston Red Sox,Seattle Mariners,n,no
3/29/2019,1,Fri,Houston Astros,Tampa Bay Rays,n,no
3/29/2019,1,Fri,Detroit Tigers,Toronto Blue Jays,n,no
3/30/2019,1,Sat,Chicago White Sox,Kansas City Royals,d,no
3/30/2019,1,Sat,Arizona Diamondbacks,Los Angeles Dodgers,n,no
3/30/2019,1,Sat,Colorado Rockies,Miami Marlins,n,no
3/30/2019,1,Sat,St. Louis Cardinals,Milwaukee Brewers,n,no
3/30/2019,1,Sat,Cleveland Indians,Minnesota Twins,d,no
3/30/2019,1,Sat,Baltimore Orioles,New York Yankees,d,no
3/30/2019,1,Sat,Los Angeles Angels,Oakland Athletics,n,no
3/30/2019,1,Sat,Atlanta Braves,Philadelphia Phillies,d,no
3/30/2019,1,Sat,San Francisco Giants,San Diego Padres,n,no
3/30/2019,1,Sat,Boston Red Sox,Seattle Mariners,n,no
3/30/2019,1,Sat,Houston Astros,Tampa Bay Rays,n,no
3/30/2019,1,Sat,Chicago Cubs,Texas Rangers,n,no
3/30/2019,1,Sat,Detroit Tigers,Toronto Blue Jays,d,no
3/30/2019,1,Sat,New York Mets,Washington Nationals,d,no
3/31/2019,1,Sun,Pittsburgh Pirates,Cincinnati Reds,d,no
3/31/2019,1,Sun,Chicago White Sox,Kansas City Royals,d,no
3/31/2019,1,Sun,Arizona Diamondbacks,Los Angeles Dodgers,d,no
3/31/2019,1,Sun,Colorado Rockies,Miami Marlins,d,no
3/31/2019,1,Sun,St. Louis Cardinals,Milwaukee Brewers,d,no
3/31/2019,1,Sun,Cleveland Indians,Minnesota Twins,d,no
3/31/2019,1,Sun,Baltimore Orioles,New York Yankees,d,no
3/31/2019,1,Sun,Los Angeles Angels,Oakland Athletics,d,no
3/31/2019,1,Sun,Atlanta Braves,Philadelphia Phillies,n,no
3/31/2019,1,Sun,San Francisco Giants,San Diego Padres,d,no
3/31/2019,1,Sun,Boston Red Sox,Seattle Mariners,d,no
3/31/2019,1,Sun,Houston Astros,Tampa Bay Rays,d,no
3/31/2019,1,Sun,Chicago Cubs,Texas Rangers,d,no
3/31/2019,1,Sun,Detroit Tigers,Toronto Blue Jays,d,no
3/31/2019,1,Sun,New York Mets,Washington Nationals,d,no
4/1/2019,1,Mon,Chicago Cubs,Atlanta Braves,n,no
4/1/2019,1,Mon,Milwaukee Brewers,Cincinnati Reds,n,no
4/1/2019,1,Mon,Chicago White Sox,Cleveland Indians,d,no
4/1/2019,1,Mon,San Francisco Giants,Los Angeles Dodgers,n,no
4/1/2019,1,Mon,New York Mets,Miami Marlins,n,no
4/1/2019,1,Mon,Detroit Tigers,New York Yankees,n,no
4/1/2019,1,Mon,Boston Red Sox,Oakland Athletics,n,no
4/1/2019,1,Mon,St. Louis Cardinals,Pittsburgh Pirates,d,no
4/1/2019,1,Mon,Arizona Diamondbacks,San Diego Padres,n,no
4/1/2019,1,Mon,Los Angeles Angels,Seattle Mariners,n,no
4/1/2019,1,Mon,Colorado Rockies,Tampa Bay Rays,n,no
4/1/2019,1,Mon,Houston Astros,Texas Rangers,n,no
4/1/2019,1,Mon,Baltimore Orioles,Toronto Blue Jays,n,no
4/2/2019,1,Tue,Milwaukee Brewers,Cincinnati Reds,n,no
