game_id,game_date,team_name,venue,batting_avg,earn_run_ave,game_outcome,game_number,visiting_team,home_team
43558-COL@TBR-1,4/3/2019,Colorado Rockies,Road,0.139,0,win,1,Colorado Rockies,Tampa Bay Rays
43558-COL@TBR-1,4/3/2019,Tampa Bay Rays,Home,0.154,0.82,lose,1,Colorado Rockies,Tampa Bay Rays
43558-DET@NYY-1,4/3/2019,Detroit Tigers,Road,0.103,1,win,1,Detroit Tigers,New York Yankees
43558-DET@NYY-1,4/3/2019,New York Yankees,Home,0.161,2,lose,1,Detroit Tigers,New York Yankees
43558-HOU@TEX-1,4/3/2019,Texas Rangers,Home,0.172,0,win,1,Houston Astros,Texas Rangers
43558-HOU@TEX-1,4/3/2019,Houston Astros,Road,0.188,4.5,lose,1,Houston Astros,Texas Rangers
43558-MIL@CIN-1,4/3/2019,Milwaukee Brewers,Road,0.071,0,win,1,Milwaukee Brewers,Cincinnati Reds
43558-MIL@CIN-1,4/3/2019,Cincinnati Reds,Home,0.1,1,lose,1,Milwaukee Brewers,Cincinnati Reds
43558-MIN@KCR-1,4/3/2019,Minnesota Twins,Road,0.324,5,win,1,Minnesota Twins,Kansas City Royals
43558-MIN@KCR-1,4/3/2019,Kansas City Royals,Home,0.25,7,lose,1,Minnesota Twins,Kansas City Royals
43558-NYM@MIA-1,4/3/2019,New York Mets,Road,0.263,4,win,1,New York Mets,Miami Marlins
43558-NYM@MIA-1,4/3/2019,Miami Marlins,Home,0.206,4,lose,1,New York Mets,Miami Marlins
43558-PHI@WSN-1,4/3/2019,Washington Nationals,Home,0.343,8,win,1,Philadelphia Phillies,Washington Nationals
43558-PHI@WSN-1,4/3/2019,Philadelphia Phillies,Road,0.27,9,lose,1,Philadelphia Phillies,Washington Nationals
43558-SFG@LAD-1,4/3/2019,Los Angeles Dodgers,Home,0.226,3,win,1,San Francisco Giants,Los Angeles Dodgers
43558-SFG@LAD-1,4/3/2019,San Francisco Giants,Road,0.188,5.62,lose,1,San Francisco Giants,Los Angeles Dodgers
43558-STL@PIT-1,4/3/2019,St. Louis Cardinals,Road,0.189,3.6,win,1,St. Louis Cardinals,Pittsburgh Pirates
43558-STL@PIT-1,4/3/2019,Pittsburgh Pirates,Home,0.211,4.5,lose,1,St. Louis Cardinals,Pittsburgh Pirates
